model,repeat,fold,selected_C,inner_macro_auc
locked_baseline,0,0,0.01,0.6442125004625004
locked_baseline,0,1,0.01,0.5914762321012321
locked_baseline,0,2,0.01,0.5636537074037075
locked_baseline,0,3,0.1,0.694059644059644
locked_baseline,0,4,0.01,0.5884585322085322
locked_baseline,1,0,0.01,0.6041962666962668
locked_baseline,1,1,0.01,0.5678611897361897
locked_baseline,1,2,0.01,0.6587158212158212
locked_baseline,1,3,0.01,0.5482231888481889
locked_baseline,1,4,1.0,0.6520999833499833
locked_baseline,2,0,0.1,0.6340145965145965
locked_baseline,2,1,0.01,0.6511967199467199
locked_baseline,2,2,0.01,0.6105225792725792
locked_baseline,2,3,0.01,0.5602458883708883
locked_baseline,2,4,0.01,0.6575698606948607
locked_baseline,3,0,0.1,0.6650553150553151
locked_baseline,3,1,0.01,0.6333519489769489
locked_baseline,3,2,0.01,0.6842999592999592
locked_baseline,3,3,0.01,0.5570571789321789
locked_baseline,3,4,0.01,0.6288136631886633
locked_baseline,4,0,0.01,0.6589974839974839
locked_baseline,4,1,1.0,0.6330420736670737
locked_baseline,4,2,0.01,0.5383323852073852
locked_baseline,4,3,0.01,0.6497748778998779
locked_baseline,4,4,0.01,0.5543805731305732
locked_baseline,5,0,0.01,0.6452411014911015
locked_baseline,5,1,0.01,0.6647548053798054
locked_baseline,5,2,0.01,0.634925838050838
locked_baseline,5,3,0.01,0.6710020303770304
locked_baseline,5,4,0.1,0.6513062169312169
locked_baseline,6,0,0.01,0.7022056647056647
locked_baseline,6,1,0.1,0.5744696275946276
locked_baseline,6,2,0.01,0.6575163262663263
locked_baseline,6,3,0.01,0.661612345987346
locked_baseline,6,4,0.1,0.5913718226218226
locked_baseline,7,0,0.01,0.5817363192363193
locked_baseline,7,1,0.01,0.6429976273726274
locked_baseline,7,2,0.01,0.620308164058164
locked_baseline,7,3,0.01,0.7025557775557776
locked_baseline,7,4,0.01,0.6054053585303586
locked_baseline,8,0,0.1,0.6681196118696119
locked_baseline,8,1,0.01,0.6434935434935434
locked_baseline,8,2,1.0,0.6542286417286418
locked_baseline,8,3,0.01,0.6542049385799386
locked_baseline,8,4,0.01,0.65003145003145
locked_baseline,9,0,0.01,0.5701839826839827
locked_baseline,9,1,0.01,0.6127275502275502
locked_baseline,9,2,0.01,0.6442870786620786
locked_baseline,9,3,0.01,0.6074291449291449
locked_baseline,9,4,0.01,0.6141897454397455
spectral,0,0,0.1,0.6536965349465349
spectral,0,1,10.0,0.6218132561882561
spectral,0,2,10.0,0.6221824471824472
spectral,0,3,10.0,0.7300251831501832
spectral,0,4,10.0,0.6864297739297739
spectral,1,0,10.0,0.6391418766418766
spectral,1,1,0.1,0.6396909803159803
spectral,1,2,10.0,0.6426319051319052
spectral,1,3,0.1,0.6937473406223406
spectral,1,4,0.1,0.7385639823139822
spectral,2,0,0.01,0.6547383172383173
spectral,2,1,0.1,0.632583041958042
spectral,2,2,0.01,0.659648569023569
spectral,2,3,10.0,0.6720671689421689
spectral,2,4,1.0,0.7187326562326563
spectral,3,0,10.0,0.7092819217819217
spectral,3,1,0.01,0.6654693685943686
spectral,3,2,10.0,0.7005624005624005
spectral,3,3,10.0,0.6501386345136345
spectral,3,4,10.0,0.6764647389647389
spectral,4,0,1.0,0.7044233544233545
spectral,4,1,0.1,0.7015209327709327
spectral,4,2,10.0,0.6692284567284567
spectral,4,3,10.0,0.6676450863950864
spectral,4,4,10.0,0.668979168979169
spectral,5,0,10.0,0.6688087375587375
spectral,5,1,0.1,0.7047835266585266
spectral,5,2,0.1,0.6398009398009398
spectral,5,3,0.1,0.6817276473526473
spectral,5,4,0.1,0.6989248020498021
spectral,6,0,0.01,0.6571655196655196
spectral,6,1,0.1,0.6643259518259518
spectral,6,2,1.0,0.713783323158323
spectral,6,3,0.1,0.650627035002035
spectral,6,4,10.0,0.645311864061864
spectral,7,0,1.0,0.699249592999593
spectral,7,1,0.1,0.6615385771635771
spectral,7,2,10.0,0.6581630175380175
spectral,7,3,10.0,0.6903923622673622
spectral,7,4,10.0,0.6318431568431568
spectral,8,0,0.01,0.6989202926702927
spectral,8,1,0.01,0.6316156066156066
spectral,8,2,1.0,0.7617937617937618
spectral,8,3,0.01,0.6580173298923299
spectral,8,4,1.0,0.709375578125578
spectral,9,0,10.0,0.6581899581899582
spectral,9,1,0.01,0.6621940559440559
spectral,9,2,10.0,0.7005391599141599
spectral,9,3,0.1,0.6557788276538277
spectral,9,4,0.1,0.6258069476819477
complexity,0,0,0.01,0.642284336034336
complexity,0,1,0.01,0.6144028425278426
complexity,0,2,10.0,0.6069654882154881
complexity,0,3,10.0,0.6725740694490695
complexity,0,4,0.01,0.6527364996114995
complexity,1,0,0.1,0.6265482202982203
complexity,1,1,1.0,0.6554768148518149
complexity,1,2,0.01,0.6211839086839087
complexity,1,3,1.0,0.6997170653420653
complexity,1,4,10.0,0.7094969844969844
complexity,2,0,0.01,0.71502109002109
complexity,2,1,1.0,0.6543013699263699
complexity,2,2,1.0,0.6345035751285751
complexity,2,3,10.0,0.5968604312354312
complexity,2,4,0.01,0.6311410811410811
complexity,3,0,1.0,0.6381849631849632
complexity,3,1,0.01,0.6545070670070671
complexity,3,2,0.01,0.659066280941281
complexity,3,3,0.01,0.6356197043697044
complexity,3,4,1.0,0.6857220325970326
complexity,4,0,0.1,0.6331853331853331
complexity,4,1,0.01,0.6718400812150812
complexity,4,2,10.0,0.5786328255078255
complexity,4,3,10.0,0.657048507048507
complexity,4,4,10.0,0.6155178155178156
complexity,5,0,0.01,0.6434613997113997
complexity,5,1,0.01,0.6835051522551522
complexity,5,2,0.01,0.6676482082732083
complexity,5,3,0.01,0.6547859547859548
complexity,5,4,0.01,0.6417599761349762
complexity,6,0,0.01,0.6630822880822881
complexity,6,1,10.0,0.6040540478040478
complexity,6,2,1.0,0.7051338707588707
complexity,6,3,10.0,0.6631195193695193
complexity,6,4,10.0,0.6171790015540015
complexity,7,0,0.01,0.6486277611277611
complexity,7,1,0.01,0.6572565166315167
complexity,7,2,0.01,0.6470552595552596
complexity,7,3,0.01,0.7141699735449736
complexity,7,4,10.0,0.6368006993006993
complexity,8,0,1.0,0.7349823787323787
complexity,8,1,0.01,0.6410581316831317
complexity,8,2,1.0,0.710185532060532
complexity,8,3,0.01,0.6743809431309431
complexity,8,4,1.0,0.6747959216709216
complexity,9,0,10.0,0.6428194490694491
complexity,9,1,0.01,0.662796115921116
complexity,9,2,0.01,0.6400525400525401
complexity,9,3,0.01,0.6096713471713472
complexity,9,4,0.01,0.5875143375143376
combined,0,0,0.01,0.6525379712879712
combined,0,1,0.1,0.6110708735708736
combined,0,2,0.1,0.6027358058608059
combined,0,3,1.0,0.6764261201761201
combined,0,4,1.0,0.7010498760498761
combined,1,0,1.0,0.6688038813038812
combined,1,1,1.0,0.6735468235468235
combined,1,2,10.0,0.604417341917342
combined,1,3,1.0,0.7270699208199208
combined,1,4,0.01,0.7249799968549968
combined,2,0,0.01,0.6854397916897917
combined,2,1,0.1,0.6539417758167758
combined,2,2,0.01,0.6439827533577533
combined,2,3,1.0,0.6312088374588375
combined,2,4,0.01,0.6646380240130239
combined,3,0,0.01,0.6588154900654901
combined,3,1,0.01,0.6585219178969178
combined,3,2,10.0,0.6628030534280533
combined,3,3,0.01,0.634717019092019
combined,3,4,1.0,0.6955490111740111
combined,4,0,1.0,0.66373741998742
combined,4,1,0.01,0.6744232619232619
combined,4,2,10.0,0.6475901413401414
combined,4,3,0.1,0.6439502627002627
combined,4,4,1.0,0.6281304343804344
combined,5,0,1.0,0.6590314777814777
combined,5,1,0.01,0.685336654086654
combined,5,2,0.01,0.6510971667221667
combined,5,3,0.1,0.6700498575498576
combined,5,4,0.01,0.6675602175602177
combined,6,0,0.01,0.6337930587930588
combined,6,1,0.1,0.6397206959706959
combined,6,2,1.0,0.729852786102786
combined,6,3,1.0,0.6485184953934954
combined,6,4,1.0,0.623570757945758
combined,7,0,10.0,0.6871757871757871
combined,7,1,0.01,0.6450201418951419
combined,7,2,0.01,0.6420017482517483
combined,7,3,0.01,0.6814872627372628
combined,7,4,1.0,0.6438588032338032
combined,8,0,0.01,0.7136377511377511
combined,8,1,0.01,0.6498056341806342
combined,8,2,0.1,0.7345975783475783
combined,8,3,0.01,0.6650106837606838
combined,8,4,0.1,0.7115359177859177
combined,9,0,1.0,0.7011296573796574
combined,9,1,0.01,0.6629519785769786
combined,9,2,0.1,0.6568670912420913
combined,9,3,1.0,0.6087724775224775
combined,9,4,0.01,0.5976631007881008
